Date,Original_Open,High,Low,Close,Volume,Adj Close,,Open
12/30/2016,116.650002,117.199997,115.43,115.82,30253100,115.82,,116.650002
12/29/2016,116.449997,117.110001,116.400002,116.730003,14963300,116.730003,,116.449997
12/28/2016,117.519997,118.019997,116.199997,116.760002,20582000,116.760002,,117.519997
12/27/2016,116.519997,117.800003,116.489998,117.260002,18071900,117.260002,,116.519997
12/23/2016,115.589996,116.519997,115.589996,116.519997,14181200,116.519997,,115.589996
12/22/2016,116.349998,116.510002,115.639999,116.290001,25789800,116.290001,,116.349998
12/21/2016,116.800003,117.400002,116.779999,117.059998,24216900,117.059998,,116.800003
12/20/2016,116.739998,117.5,116.68,116.949997,20905800,116.949997,,116.739998
12/19/2016,115.800003,117.379997,115.75,116.639999,27675400,116.639999,,115.800003
12/16/2016,116.470001,116.5,115.650002,115.970001,44055400,115.970001,,116.470001
12/15/2016,115.379997,116.730003,115.230003,115.82,46232200,115.82,,115.379997
12/14/2016,115.040001,116.199997,114.980003,115.190002,33433200,115.190002,,115.040001
12/13/2016,113.839996,115.919998,113.75,115.190002,43167500,115.190002,,113.839996
12/12/2016,113.290001,115,112.489998,113.300003,26149100,113.300003,,113.290001
12/9/2016,112.309998,114.699997,112.309998,113.949997,34274100,113.949997,,112.309998
12/8/2016,110.860001,112.43,110.599998,112.120003,26818500,112.120003,,110.860001
12/7/2016,109.260002,111.190002,109.160004,111.029999,29853000,111.029999,,109.260002
12/6/2016,109.5,110.360001,109.190002,109.949997,26075900,109.949997,,109.5
12/5/2016,110,110.029999,108.25,109.110001,34037300,109.110001,,110
12/2/2016,109.169998,110.089996,108.849998,109.900002,26409800,109.900002,,109.169998
12/1/2016,110.370003,110.940002,109.029999,109.489998,36825800,109.489998,,110.370003
11/30/2016,111.599998,112.199997,110.269997,110.519997,35765000,110.519997,,111.599998
11/29/2016,110.779999,112.029999,110.07,111.459999,28459300,111.459999,,110.779999
11/28/2016,111.43,112.470001,111.389999,111.57,27026600,111.57,,111.43
11/25/2016,111.129997,111.870003,110.949997,111.790001,11424400,111.790001,,111.129997
11/23/2016,111.360001,111.510002,110.330002,111.230003,27387900,111.230003,,111.360001
11/22/2016,111.949997,112.419998,111.400002,111.800003,25922600,111.800003,,111.949997
11/21/2016,110.120003,111.989998,110.010002,111.730003,29119100,111.730003,,110.120003
11/18/2016,109.720001,110.540001,109.660004,110.059998,27404300,110.059998,,109.720001
11/17/2016,109.809998,110.349998,108.830002,109.949997,26964600,109.949997,,109.809998
11/16/2016,106.699997,110.230003,106.599998,109.989998,58702500,109.989998,,106.699997
11/15/2016,106.57,107.68,106.160004,107.110001,32216900,107.110001,,106.57
11/14/2016,107.709999,107.809998,104.080002,105.709999,50872500,105.709999,,107.709999
11/11/2016,107.120003,108.870003,106.550003,108.43,34094100,108.43,,107.120003
11/10/2016,111.089996,111.089996,105.830002,107.790001,57134500,107.790001,,111.089996
11/9/2016,109.879997,111.32,108.050003,110.879997,59176400,110.879997,,109.879997
11/8/2016,110.309998,111.720001,109.699997,111.059998,24054500,111.059998,,110.309998
11/7/2016,110.080002,110.510002,109.459999,110.410004,32560000,110.410004,,110.080002
