Date,Original_Open,High,Low,Close,Volume,Adj Close,,Open
12/30/2016,103.860001,104.059998,102.980003,103.25,3834700,103.036493,,103.860001
12/29/2016,103.809998,104.370003,103.440002,103.769997,2858600,103.555414,,103.809998
12/28/2016,104.699997,104.779999,103.540001,103.68,2552300,103.465604,,104.699997
12/27/2016,104.900002,105.639999,104.699997,104.800003,2160700,104.583291,,104.900002
12/23/2016,104.300003,105.160004,104.010002,104.709999,1610700,104.493473,,104.300003
12/22/2016,104.43,104.760002,103.160004,104.309998,2463900,104.094299,,104.43
12/21/2016,104.480003,104.970001,103.900002,104.169998,1952500,103.954589,,104.480003
12/20/2016,104.050003,104.559998,103.150002,104.540001,2354400,104.323826,,104.050003
12/19/2016,103.699997,104.199997,103.449997,103.540001,2980900,103.325894,,103.699997
12/16/2016,104.82,104.82,103.050003,103.43,4659700,103.216121,,104.82
12/15/2016,104.43,105.709999,104,104.349998,3774100,104.134217,,104.43
12/14/2016,102.910004,104.839996,102.910004,103.279999,3515800,103.06643,,102.910004
12/13/2016,103.57,104.599998,102.940002,103.32,4297700,103.106348,,103.57
12/12/2016,104.339996,104.400002,103.160004,103.279999,3827700,103.06643,,104.339996
12/9/2016,104.809998,105.099998,104,104.410004,2541000,104.194098,,104.809998
12/8/2016,105.18,105.489998,103.860001,104.82,3024700,104.603246,,105.18
12/7/2016,103.019997,105.57,102.620003,105.25,5423500,105.032357,,103.019997
12/6/2016,103.82,103.980003,101.800003,102,4975200,101.789078,,103.82
12/5/2016,101.870003,103.669998,101.800003,103.550003,5427900,103.335876,,101.870003
12/2/2016,100.25,101.139999,99.82,101.099998,3981100,100.890937,,100.25
12/1/2016,102.330002,102.580002,99.510002,100.18,5452100,99.972842,,102.330002
11/30/2016,103.540001,104.279999,101.379997,102.199997,6889200,101.988661,,103.540001
11/29/2016,103.68,104.370003,103.339996,103.82,3356600,103.605314,,103.68
11/28/2016,105.419998,105.419998,103.050003,103.360001,5401700,103.146266,,105.419998
11/25/2016,104.620003,105.730003,104.529999,105.730003,1566900,105.511368,,104.620003
11/23/2016,105.599998,105.910004,104.290001,104.559998,4952300,104.343782,,105.599998
11/22/2016,106,106.129997,104.739998,105.93,4570100,105.710951,,106
11/21/2016,104.779999,106,104.690002,105.940002,2650800,105.720933,,104.779999
11/18/2016,104.650002,105.099998,104.309998,104.779999,3275000,104.563328,,104.650002
11/17/2016,104.400002,105.25,103.739998,104.449997,3096800,104.234009,,104.400002
11/16/2016,102.43,104,102.43,104,4567900,103.784942,,102.43
11/15/2016,101.379997,102.989998,101.379997,102.480003,4633100,102.268089,,101.379997
11/14/2016,105.019997,105.099998,100.360001,101.139999,7106800,100.930856,,105.019997
11/11/2016,103.860001,105.059998,103.660004,104.620003,3300300,104.403663,,103.860001
11/10/2016,106.660004,107.139999,102.449997,104.5,6584300,104.283908,,106.660004
11/9/2016,104.910004,106.449997,103.860001,106.190002,4775000,105.970416,,104.910004
11/8/2016,105.739998,106.470001,105.529999,105.699997,2864300,105.481424,,105.739998
11/7/2016,104.580002,106.029999,104.529999,105.959999,3067500,105.740888,,104.580002
11/4/2016,103.900002,104.43,103.029999,103.029999,3067200,102.816947,,103.900002
11/3/2016,103.519997,104.459999,103.510002,103.779999,3127300,103.565396,,103.519997
11/2/2016,104.279999,105,104,104,3527500,103.784942,,104.279999
11/1/2016,107,107.120003,104.790001,104.959999,7076500,104.742956,,107
10/31/2016,107.400002,108.93,106.470001,107.019997,5820000,106.798694,,107.400002
10/28/2016,105.050003,107.830002,104.610001,106.900002,9282800,106.678947,,105.050003
10/27/2016,103.190002,104.300003,103.190002,103.599998,5096100,103.385768,,103.190002
10/26/2016,102.559998,103.459999,102.529999,103.220001,3356000,103.006556,,102.559998
10/25/2016,103.190002,103.239998,102.290001,102.879997,4869300,102.667255,,103.190002
10/24/2016,103.150002,103.919998,102.959999,103.190002,2565600,102.97662,,103.150002
10/21/2016,102.129997,103,101.959999,102.849998,3018800,102.637319,,102.129997
10/20/2016,102.790001,103.370003,102.349998,102.550003,2945300,102.337944,,102.790001
10/19/2016,101.800003,102.849998,101.629997,102.730003,3305200,102.517572,,101.800003
10/18/2016,101.779999,102.120003,101.059998,101.730003,2623700,101.51964,,101.779999
10/17/2016,100.959999,101.260002,100.620003,100.849998,1975500,100.641454,,100.959999
10/14/2016,101.099998,102.199997,100.809998,100.879997,3280200,100.671391,,101.099998
10/13/2016,100.75,101.489998,99.779999,100.650002,3657400,100.441871,,100.75
10/12/2016,101.559998,101.910004,101.050003,101.360001,3467800,101.150402,,101.559998
10/11/2016,102.540001,102.629997,100.82,101.349998,3412900,101.14042,,102.540001
10/10/2016,102.699997,103.370003,102.550003,102.650002,2376500,102.437735,,102.699997
10/7/2016,103.050003,103.489998,101.980003,102.25,4225600,102.038561,,103.050003
10/6/2016,102.400002,103.169998,102.019997,102.940002,3875600,102.727137,,102.400002
10/5/2016,101.32,102.669998,101.32,102.400002,3768100,102.188252,,101.32
10/4/2016,102.029999,102.209999,101.040001,101.220001,2881900,100.821087,,102.029999
10/3/2016,101.389999,102.379997,101.239998,101.879997,3696700,101.478482,,101.389999
9/30/2016,100.779999,102.230003,100.68,101.769997,5503900,101.368915,,100.779999
9/29/2016,101.580002,102.309998,100.589996,100.610001,3010000,100.213491,,101.580002
9/28/2016,101.43,101.580002,100.830002,101.510002,3629500,101.109945,,101.43
9/27/2016,101,101.650002,100.559998,101.449997,3547700,101.050177,,101
9/26/2016,100.82,101.830002,100.75,101.160004,3468900,100.761326,,100.82
9/23/2016,101.919998,102.099998,101.25,101.660004,2759400,101.259356,,101.919998
9/22/2016,101.57,102.230003,101.510002,102.120003,3390600,101.717542,,101.57
9/21/2016,100.809998,101.309998,99.970001,101.260002,3251900,100.86093,,100.809998
9/20/2016,100.25,100.919998,100.010002,100.489998,3848700,100.093961,,100.25
9/19/2016,99.949997,100.389999,99.419998,99.68,3056900,99.287156,,99.949997
9/16/2016,99.050003,99.690002,98.589996,99.360001,4498800,98.968417,,99.050003
