Date,Original_Open,High,Low,Close,Volume,Adj Close,,Open
12/30/2016,803.210022,803.289978,789.619995,792.450012,1728300,792.450012,,803.210022
12/29/2016,802.330017,805.75,798.140015,802.880005,1056500,802.880005,,802.330017
12/28/2016,813.330017,813.330017,802.440002,804.570007,1199700,804.570007,,813.330017
12/27/2016,808.679993,816,805.799988,809.929993,974400,809.929993,,808.679993
12/23/2016,808.01001,810.969971,805.109985,807.799988,764100,807.799988,,808.01001
12/22/2016,809.099976,811.070007,806.030029,809.679993,1131600,809.679993,,809.099976
12/21/2016,815.719971,815.719971,805.099976,812.200012,1454500,812.200012,,815.719971
12/20/2016,813.369995,816.48999,811,815.200012,1270200,815.200012,,813.369995
12/19/2016,809.280029,816.219971,804.5,812.5,1259600,812.5,,809.280029
12/16/2016,818.309998,819.200012,808.119995,809.840027,2589100,809.840027,,818.309998
12/15/2016,817.359985,823,812,815.650024,1768500,815.650024,,817.359985
12/14/2016,815.919983,824.26001,812.780029,817.890015,1769700,817.890015,,815.919983
12/13/2016,812.390015,824.299988,811.940002,815.340027,2103300,815.340027,,812.390015
12/12/2016,804.820007,811.349976,804.530029,807.900024,1627300,807.900024,,804.820007
12/9/2016,799.299988,809.950012,798.049988,809.450012,1894000,809.450012,,799.299988
12/8/2016,792.950012,799,787.909973,795.169983,1608300,795.169983,,792.950012
12/7/2016,779.950012,792,773.530029,791.469971,2018300,791.469971,,779.950012
12/6/2016,780.190002,785.280029,773.320007,776.179993,1729800,776.179993,,780.190002
12/5/2016,770,780,766.969971,778.219971,1682700,778.219971,,770
12/2/2016,761.900024,770.5,759,764.460022,1692600,764.460022,,761.900024
12/1/2016,778.549988,778.599976,753.359985,764.330017,2861300,764.330017,,778.549988
11/30/2016,789.099976,791.51001,773.150024,775.880005,2260100,775.880005,,789.099976
11/29/2016,788.380005,796.440002,785.340027,789.440002,1558500,789.440002,,788.380005
11/28/2016,778.349976,799.73999,778.099976,785.789978,2568800,785.789978,,778.349976
11/25/2016,782.609985,782.900024,778.190002,780.22998,612100,780.22998,,782.609985
11/23/2016,789.52002,789.52002,772.650024,779,1310500,779,,789.52002
11/22/2016,788.98999,793.77002,783.73999,785,1391200,785,,788.98999
11/21/2016,778.099976,786.549988,776.299988,784.799988,1626400,784.799988,,778.099976
11/18/2016,787.169983,791.289978,775.349976,775.969971,1795900,775.969971,,787.169983
11/17/2016,782.5,788.900024,779.849976,786.159973,1529300,786.159973,,782.5
11/16/2016,770.419983,783.5,766.330017,779.97998,1794300,779.97998,,770.419983
11/15/2016,765.469971,780.23999,765.219971,775.159973,2935000,775.159973,,765.469971
11/14/2016,771.76001,771.780029,743.590027,753.219971,3672000,753.219971,,771.76001
11/11/2016,776.809998,777.289978,765.539978,771.75,3587700,771.75,,776.809998
11/10/2016,810,810.059998,768.22998,780.289978,5908200,780.289978,,810
11/9/2016,801.830017,811.710022,792.039978,805.590027,3095000,805.590027,,801.830017
11/8/2016,802.030029,816.039978,799.619995,811.97998,1754700,811.97998,,802.030029
11/7/2016,794.950012,805,792.900024,802.030029,1992600,802.030029,,794.950012
11/4/2016,771.299988,788.47998,771,781.099976,1970600,781.099976,,771.299988
11/3/2016,784.5,790,778.630005,782.190002,2175200,782.190002,,784.5
11/2/2016,806.76001,806.76001,785,788.419983,2350700,788.419983,,806.76001
11/1/2016,810.869995,813.960022,798.26001,805.47998,2355900,805.47998,,810.869995
10/31/2016,822.429993,822.630005,808,809.900024,2242700,809.900024,,822.429993
10/28/2016,829.940002,839,817,819.559998,4354900,819.559998,,829.940002
10/27/2016,823.01001,826.580017,814.609985,817.349976,2973500,817.349976,,823.01001
10/26/2016,827.119995,827.710022,816.349976,822.099976,1794900,822.099976,,827.119995
10/25/2016,838.5,838.5,825.299988,828.549988,1890700,828.549988,,838.5
10/24/2016,830.090027,837.940002,829.039978,835.73999,1447600,835.73999,,830.090027
10/21/2016,820,824.289978,818.309998,824.059998,1615800,824.059998,,820
10/20/2016,827.559998,828.469971,820.549988,821.630005,1393900,821.630005,,827.559998
10/19/2016,822.880005,829.799988,822.880005,826.840027,1500100,826.840027,,822.880005
10/18/2016,814.210022,828.809998,813.330017,821.48999,2289300,821.48999,,814.210022
10/17/2016,805.98999,813.48999,803.830017,806.840027,1056400,806.840027,,805.98999
10/14/2016,807.450012,810.090027,802.320007,804.599976,1111900,804.599976,,807.450012
10/13/2016,806.070007,806.559998,798.619995,804.080017,1369000,804.080017,,806.070007
10/12/2016,811.960022,814.5,808.549988,811.77002,907900,811.77002,,811.960022
10/11/2016,814.169983,819.859985,807.369995,809.570007,1721600,809.570007,,814.169983
